id,pardon_date,minister,crime,gender
BOE-A-1996-3525,1996-01-15,Juan Alberto Belloch,"un delito de violación, a la pena de tres años de prisión menor; otro como autor por cooperación necesaria de un delito de violación, a la pena de dos años de prisión menor, y dos delitos de violación en grado de tentativa, a la pena de un año de prisión menor por cada uno, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-3532,1996-01-15,Juan Alberto Belloch,"un delito de resistencia a agentes de la autoridad, a la pena de dos meses y un día de arresto mayor y multa de 100.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-3533,1996-01-15,Juan Alberto Belloch,"dos delitos de violación, a la pena de dos años de prisión menor por cada uno; otro delito de violación en grado de tentativa, a la pena de un año de prisión menor, y autor por cooperación de otro delito de violación en grado de tentativa, a la pena de un año de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-5171,1996-02-09,Juan Alberto Belloch,"un delito de incendio, a la pena de siete años de prisión mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-5531,1996-02-16,Juan Alberto Belloch,"un delito contra la salud pública, a la pena de ocho años y un día de prisión mayor y multa de 101.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-5535,1996-02-16,Juan Alberto Belloch,"un delito de malversación de caudales públicos, a la pena de catorce años de reclusión menor, con la accesoria de inhabilitación absoluta durante el tiempo de la condena, y delito de falsedad, a dos años de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-6092,1996-02-23,Juan Alberto Belloch,"un delito de robo con fuerza en las cosas, a la pena de cuatro años dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-6094,1996-02-23,Juan Alberto Belloch,"un delito de receptación, a la pena de dos años de prisión menor y multa de 40.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-6095,1996-02-23,Juan Alberto Belloch,"un delito de receptación, a la pena de dos años de prisión menor y multa de 40.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-9696,1996-04-12,Juan Alberto Belloch,"un delito de malversación de fondos, a la pena de ocho años de prisión mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1996-9705,1996-04-12,Juan Alberto Belloch,"un delito de robo, a la pena de ocho meses de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-9906,1996-04-19,Juan Alberto Belloch,"un delito de robo, a la pena de seis meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-19685,1996-07-05,Margarita Mariscal De Gante,"un delito de hurto, a la pena de un mes y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-20359,1996-07-19,Margarita Mariscal De Gante,"un delito de robo, a la pena de cuatro años, dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-22673,1996-09-20,Margarita Mariscal De Gante,"un delito de lesiones, a la pena de dos años cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-22680,1996-09-20,Margarita Mariscal De Gante,"un delito de receptación, a la pena de diez meses de prisión menor y multa de 30.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-24096,1996-10-11,Margarita Mariscal De Gante,"un delito de utilización ilegítima de vehículo de motor ajeno, a la pena de seis meses y un día de prisión menor y privación del permiso de conducir o facultad de obtenerlo durante dos años, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-24805,1996-10-18,Margarita Mariscal De Gante,"un delito de utilización ilegítima de vehículos de motor ajeno, a la pena de cuatro meses y un día de arresto mayor y privación del permiso de conducir o facultad de obtenerlo durante tres meses y un día, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-4487,1997-02-07,Margarita Mariscal De Gante,"un delito de robo, a la pena de seis meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de condena",Hombre
BOE-A-1997-4491,1997-02-07,Margarita Mariscal De Gante,"un delito de robo, a la pena de seis meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de condena",Hombre
BOE-A-1997-6204,1997-02-28,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de dos años cuatro meses y un día de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-9086,1997-04-14,Margarita Mariscal De Gante,"un delito de robo, a la pena de un año de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-9751,1997-04-14,Margarita Mariscal De Gante,"un delito de robo, a la pena de cuatro años, dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-12882,1997-05-23,Margarita Mariscal De Gante,"un delito de robo con violencia, a la pena de cuatro años dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-13657,1997-05-30,Margarita Mariscal De Gante,"un delito de apropiación indebida, a la pena de dos años de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-15137,1997-06-16,Margarita Mariscal De Gante,"un delito de infracción del derecho de autor, a la pena de tres meses de arresto mayor y multa de 2.500.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-15261,1997-06-20,Margarita Mariscal De Gante,"un delito de hurto, a la pena de un mes y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-15269,1997-06-20,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de cuatro meses y un día de arresto mayor y multa de 500.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-15979,1997-06-27,Margarita Mariscal De Gante,"un delito de robo, a la pena de cuatro meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-19238,1997-07-18,Margarita Mariscal De Gante,"un delito de imprudencia temeraria con resultado de muerte, a la pena de dos años cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-19328,1997-07-24,Margarita Mariscal De Gante,"un delito de imprudencia temeraria con resultado de muerte, a la pena de seis meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-20771,1997-09-05,Margarita Mariscal De Gante,"un delito de robo, a la pena de dos meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-20772,1997-09-05,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de un año y seis meses de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-21230,1997-09-15,Margarita Mariscal De Gante,"un delito de hurto, a la pena de dos meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1997-21326,1997-09-19,Margarita Mariscal De Gante,"un delito de malversación de caudales públicos, a la pena de tres meses de suspensión del cargo que venía desempeñando y otros de carácter análogo",Hombre
