id,pardon_date,minister,crime,gender
BOE-A-1996-3530,1996-01-15,Juan Alberto Belloch,"un delito de robo, a la pena de dos meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-3531,1996-01-15,Juan Alberto Belloch,"dos delitos de violación, a la pena de doce años y un día de reclusión menor e inhabilitación absoluta, y de un delito de robo con intimidación, a la pena de ocho meses de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-3587,1996-01-19,Juan Alberto Belloch,"un delito continuado de robo, a la pena de cuatro años dos meses y un día de prisión menor; otro delito de uso de documento de identidad verdadero expedido a nombre de otro, a la pena de 100.000 pesetas de multa, y otro delito de falsedad de documento mercantil, a la pena de un año de prisión menor y multa de 50.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-3596,1996-01-19,Juan Alberto Belloch,"un delito de quebrantamiento de la condena de privación del permiso de conducir, a la pena de un mes y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-4301,1996-01-27,Juan Alberto Belloch,"un delito de lesiones, a la pena de dos años, cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1996-4294,1996-01-27,Juan Alberto Belloch,"un delito de estafa, a la pena de tres meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-4291,1996-01-27,Juan Alberto Belloch,"un delito de malversación de caudales públicos, a la pena de doce años y un día de reclusión menor e inhabilitación absoluta durante ocho años, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-5044,1996-02-02,Juan Alberto Belloch,"un delito de robo con fuerza en las cosas, a la pena de dos años cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-5042,1996-02-02,Juan Alberto Belloch,"un delito continuado de robo, a la pena de cuatro años dos meses y un día de prisión menor, y otro delito de continuado de robo, a la pena de cuatro años dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-5037,1996-02-02,Juan Alberto Belloch,"un delito de apropiación indebida, a la pena de un mes y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
