CCAA 	Nombre 	Vinculado al Partido 	Cargos ejercidos 	Caso 	Grado de implicación 	Ingresó en prisión
Nacional 	Álvaro Lapuerta 	PP 	Tesorero del PP (2003-2008) 	Gürtel 	Imputado 	No
Nacional 	Ángel Acebes 	PP 	Ministro de Administraciones Públicas
(1999-2000);
Ministro de Justicia (2000-2002); Ministro de Interior (2002-2004) y Secretario general del Partido Popular (2004-2008). Abandonó su escaño para poder entrar en la entidad bancaria 	Bankia 	Imputado 	No
Nacional 	Ángel Sanchís 	PP 	Tesorero del Partido Popular (1982-1987) 	Gürtel 	Imputado 	No
Nacional 	Cristóbal Páez Vicedo 	PP 	Gerente del Partido Popular 	Gürtel 	Imputado 	No
Nacional 	Jesús Merino Delgado 	PP 	Diputado del Congreso 	Gürtel 	Imputado 	No
Valencia 	Rita Barberá 	PP 	Alcaldesa de Valencia (1991-2015) y Senadora (2015-2016) Fallecida en 2016 	Taula 	Imputada 	No
Nacional 	Juan Carlos Bárcenas Gutiérrez 	PP 	Asesor GPP Senado y hermano de Luis Bárcenas 	Gürtel 	Imputado 	No
Nacional 	Luis Bárcenas 	PP 	Tesorero del Partido Popular 	Gürtel 	Imputado 	Preventiva
Nacional 	Pablo Crespo 	PP 	Empresario y diputado por la circunscripción de Pontevedra 	Gürtel 	Imputado 	Preventiva
Nacional 	Rodrigo Rato 	PP 	Vicepresidente del Gobierno y presidente de Bankia 	Bankia 	Imputado 	Si
Andalucía 	Gabriel Amat 	PP 	Alcalde de Roquetas de Mar, presidente del PP de Almería y de la diputación 	Fabriquilla 	Imputado 	No
Andalucía 	Gregorio Guerra 	PP 	Concejal de Urbanismo 	Troya 	Condenado 	No
Andalucía 	Juan Martín Serón 	PP 	Alcalde de Alhaurín 	Troya 	Condenado 	No
Baleares 	Aina Castillo 	PP 	Consejera de Salud 	Over Marketing 	Imputado 	No
Baleares 	Antònia Ordinas 	PP 	Director y Gerente del Consorcio para el Desarrollo Económico de las Islas Baleares 	Scala 	Condenado 	Sí
Baleares 	Damián Amengual 	PP 	Gerente del consorcio Turisme Jove 	Turisme Jove 	Condenado 	
Baleares 	Damián Vidal 	PP 	Director Gerente de la empresa pública del Govern Bitel 	Bitel 	Condenado 	Sí
Baleares 	Eugenio Hidalgo 	PP 	Alcalde de Andratx 	Andratx 	Condenado 	Sí
Baleares 	Fernando Areal 	PP 	Gerente del PP balear y cuñado de Jaume Matas 	Palma Arena 	Imputado 	No
Baleares 	Jaume Massot 	PP 	Director general de Ordenación del Territorio del Govern Matas 	Andratx 	Condenado 	Sí
Baleares 	Jaume Matas 	PP 	Presidente de Baleares 	Palma Arena 	Condenado 	Sí
Baleares 	Joan Pol 	PP 	Director general de Emergencias 	Bomsai 	Imputado 	No
Baleares 	José Luis 'Pepote' Ballester 	PP 	Director general de Deportes 	Nóos 	Imputado 	No
Baleares 	José María Rodríguez 	PP 	Consejero de Interior, delegado del Gobierno, presidente de la Junta Municipal de Palma 	Over Marketing 	Imputado 	No
Baleares 	Josep Juan Cardona 	PP 	Consejero de Comercio, Industria y Energía de Baleares 	Scala 	Condenado 	Sí
Baleares 	Juan Carlos Alía 	PP 	Director gerente del Instituto Balear de Turismo (Ibatur) 	Nóos 	Imputado 	No
Baleares 	Juan Francisco Gálvez 	PP 	Director general de Juventud 	Turisme Jove 	Condenado 	
Baleares 	Juan Francisco Gosálbez 	PP 	Jefe de servicios de Turisme Jove 	Turisme Jove 	Condenado 	
Baleares 	Kurt Viaene 	PP 	Director general de Promoción industrial del Gobierno balear 	Scala 	Condenado 	Sí
Baleares 	Lluís Ramis de Ayreflor 	PP 	Consejero de Economía y Hacienda en el Gobierno de Jaume Matas 	Bomsai 	Imputado 	No
Baleares 	Miquel Angel Bonet 	PP 	Secretario y asesor jurídico del Instituto Balear de Turismo (Ibatur) 	Ibatur 	Condenado 	No
Baleares 	Pere Rotger 	PP 	Presidente del Parlamento balear 	Over Marketing 	Imputado 	No
Baleares 	Rafael Durán (político) 	PP 	Portavoz del PP en el Ayuntamiento de Palma 	Palma Arena 	Imputado 	No
Baleares 	Rodrigo de Santos 	PP 	Concejal de urbanismo del Ayuntamiento de Palma 	De Santos 	Condenado 	Sí
Canarias 	Carmelo Julián Oliva Bethencourt 	PP 	Concejal de Hacienda 	Faycán 	Imputado 	No
Canarias 	Francisco Gordillo Suárez 	PP 	Asesor de María Antonia Torres 	Faycán 	Imputado 	No
Canarias 	Francisco Valido 	PP 	Alcalde de Telde 	Faycán 	Imputado 	No
Canarias 	Guadalupe López Pérez 	PP 	Concejal de Fiestas 	Faycán 	Imputado 	No
Canarias 	Inmaculada Acosta 	PP 	Director de la Escuela de Servicios Sanitario y Sociales del Gobierno de Canarias (Essscan) 	Catis 	Imputado 	No
Canarias 	José Luis Mena 	PP 	Jefe de la oficina de Urbanismo 	Faycán 	Imputado 	No
Canarias 	José Luis Sánchez González 	PP 	Asesor de María del Carmen Castellano, gerente de la Sociedad de Desarrollo y Promoción de Telde 	Faycán 	Imputado 	No
Canarias 	José Suárez Martel 	PP 	Concejal de Depósitos, Aguas, Saneamientos, Agricultura, Ganadería y Pesca 	Faycán 	Imputado 	No
Canarias 	María del Carmen Castellano 	PP 	Concejal de Desarrollo local y presidenta del PP en Telde, actualmente Alcaldesa de Telde 	Faycán 	Imputado 	No
Canarias 	María Rosa de Haro 	PP 	Director de la Escuela de Servicios Sanitario y Sociales del Gobierno de Canarias (Essscan), en 2011 va como tercera en la lista para el Congreso por el PP 	Catis 	Imputado 	No
Castilla La Mancha 	José Manuel Molina 	PP 	Alcalde de Toledo 	Bárcenas 	Imputado 	No
Castilla La Mancha 	José Ángel Cañas 	PP 	Gerente del PP de Castilla-La Mancha 	Bárcenas 	Imputado 	No
Castilla y León 	Marcos Martínez 	PP 	Presidente de la Diputación de León y Alcalde de Cuadros 	Púnica 	Imputado 	Preventiva
Cataluña 	Jordi Soriano 	PP 	Concejal de Sabadell 	Mercurio 	Imputado 	No
Ceuta 	Yolanda Bel 	PP 	Consejera de Presidencia, Gobernación y Empleo 	Kibesan 	Imputado 	No
Comunidad Valenciana 	Adolfo Polo 	PP 	Jefe del Área Medioambiental de Emarsa 	Emarsa 	Imputado 	No
Comunidad Valenciana 	Alexandre Català 	PP 	Subsecretario de la Consejería de Solidaridad 	Cooperación 	Condenado 	No
Comunidad Valenciana 	Alicia De Miguel 	PP 	Consejero de Bienestar Social de la Generalitat Valenciana 	Gürtel 	Imputado 	No
Comunidad Valenciana 	Álvaro Pérez 'El Bigotes' 	PP 	Gerente de Orange Market 	Gürtel 	Imputado 	No
Comunidad Valenciana 	Ana María Grau Ábalos 	PP 	Coordinadora de ferias de la Agencia Valenciana de Turismo (AVT) 	Gürtel 	Imputado 	No
Comunidad Valenciana 	Angélica Such 	PP 	Consejera de Turismo, diputada autonómica 	Gürtel 	Imputado 	No
Comunidad Valenciana 	Antonio Botella 	PP 	Abogado y primer teniente alcalde de Moncada 	Emarsa 	Imputado 	No
Comunidad Valenciana 	Carlos Fabra 	PP 	Presidente de la Diputación de Castellón (1995-2011) y del PP de Castellón (-2012) 	Fabra 	Condenado 	No
Comunidad Valenciana 	Cristina Ibáñez 	PP 	Gerente del PP valenciano 	Gürtel 	Imputado 	No
Comunidad Valenciana 	Daniel Calzada 	PP 	Asesor de la mercantil Llar Calzada 	Emarsa 	Imputado 	No
Comunidad Valenciana 	David Serra Cervera 	PP 	Vicesecretario de Organización del PP de la Comunidad Valenciana, secretario autonómico de Deportes, diputado autonómico 	Gürtel 	Imputado 	No
Comunidad Valenciana 	Dora Ibars 	PP 	Director general de Promoción Institucional de la Generalitat 	Gürtel 	Imputado 	No
Comunidad Valenciana 	Elisa Maldonado 	PP 	Director de operaciones de la Ciudad de las Artes y las Ciencias (CACSA) 	Nóos 	Imputado 	No
Comunidad Valenciana 	Enrique Arnal 	PP 	Director financiero de Emarsa 	Emarsa 	Imputado 	No
Comunidad Valenciana 	Enrique Crespo 	PP 	Presidente de Emarsa. Alcalde de Manises y vicepresidente de la Diputación de Valencia 	Emarsa 	Imputado 	No
Comunidad Valenciana 	Enrique Ortiz 	PP 	Constructor de Alicante 	Rabasa 	Imputado 	No
Comunidad Valenciana 	Esteban Cuesta 	PP 	Gerente de la depuradora EMARSA 	Emarsa 	Imputado 	No
Comunidad Valenciana 	Genoveva Reig 	PP 	Director general de Televisión Valenciana (TVV) con Eduardo Zaplana (1998-2004) 	Brugal 	Imputado 	No
Comunidad Valenciana 	Ignacio Bernácer 	PP 	Directivo de la Empresa Pública de Saneamiento (Epsar) 	Emarsa 	Imputado 	No
Comunidad Valenciana 	Ignacio Martínez Maiques 	PP 	Jefe de Compras de Epsar 	Emarsa 	Imputado 	No
Comunidad Valenciana 	Inmaculada García Pardo 	PP 	Directora General Infraestructuras de la Generalitat y directora del Sepiva, sociedad pública promotora de suelo industrial 	Gürtel 	Imputado 	No
Comunidad Valenciana 	Joaquín Fernando Tomás 	PP 	Asesor jurídico de la sociedad pública Vaersa 	Gürtel 	Imputado 	No
Comunidad Valenciana 	Joaquín Ripoll 	PP 	Presidente de la Diputación Provincial de Alicante (2003-2011), presidente de la Autoridad Portuaria de Alicante (2011- ) 	Brugal 	Imputado 	No
Comunidad Valenciana 	Jorge Guarro Monllor 	PP 	Jefe del servicio de Promoción de la Agencia Valenciana de Turismo 	Gürtel 	Imputado 	No
Comunidad Valenciana 	Jorge Vela 	PP 	Director de la Ciudad de las Artes y las Ciencias (CACSA) 	Nóos 	Imputado 	No
Comunidad Valenciana 	José Juan Morenilla 	PP 	Gerente de la Empresa Pública de Saneamiento (Epsar) 	Emarsa 	Imputado 	No
Comunidad Valenciana 	José López Jaraba 	PP 	Director general del grupo de Radio Televisión valenciana (RTVV) 	RTVV 	Imputado 	No
Comunidad Valenciana 	José Manuel Aguilar 	PP 	Director de la Ciudad de las Artes y las Ciencias (CACSA) 	Nóos 	Imputado 	No
Comunidad Valenciana 	José Manuel Medina 	PP 	Alcalde de Orihuela 	Brugal 	Imputado 	No
Comunidad Valenciana 	José Manuel Vidal Vidal 	PP 	Alto cargo en varias consejerías de la Generalitat Valenciana 	Gürtel 	Imputado 	No
Comunidad Valenciana 	José Ramón Cuesta 	PP 	Hermano de Esteban Cuesta y dueño de la empresa Exae 	Emarsa 	Imputado 	No
Comunidad Valenciana 	Josep María Felip 	PP 	Director general de la Conselleria de Solidaridad 	Cooperación 	Condenado 	No
Comunidad Valenciana 	Juan Bover Fernández de Palencia 	PP 	Jefe de servicio de Infraestructuras Turísticas de la Generalitat 	Gürtel 	Imputado 	No
Comunidad Valenciana 	Juan Carlos Gimeno 	PP 	Encargado de gestión ambiental de Emarsa y posteriormente administrador de Área Este y CRM Adecua 	Emarsa 	Imputado 	No
Comunidad Valenciana 	Juan José Morenilla 	PP 	Directivo de la Empresa Pública de Saneamiento (Epsar) 	Emarsa 	Imputado 	No
Comunidad Valenciana 	Juan Miguel Bellver 	PP 	Director general de Vaersa 	Gürtel 	Imputado 	No
Comunidad Valenciana 	Leonor Moreno 	PP 	Abogada de Emarsa 	Emarsa 	Imputado 	No
Comunidad Valenciana 	Lola Johnson 	PP 	Director de Televisión Valenciana (2009), Consejero de Turismo, Cultura y Deporte de la Generalitat Valenciana (2011-2012), portavoz del Consejo de la Generalitat valenciana (2011-2012) 	RTVV 	Imputado 	No
Comunidad Valenciana 	Luis Díaz Alperi 	PP 	Alcalde de Alicante (1995-2008) 	Brugal 	Imputado 	No
Comunidad Valenciana 	Luis Fernando Cartagena 	PP 	Alcalde de Orihuela (1987-1997), consejero de Obras Públicas de la Generalitat Valenciana (1995-1999) 	Carmelitas 	Condenado 	Sí
