apellido,frec_pri,frec_seg,freq_rep
TRIVEZ,99,138,0
RIPADO,99,137,0
BALDOR,99,126,0
DANUS,99,126,0
BOHER,99,125,0
DEBLAS,99,124,0
SANTAOLAYA,99,122,0
ORTIZ DE MENDIVIL,99,121,0
DIAZ DE ESPADA,99,120,0
GOITIZ,99,120,0
DELEITO,99,119,0
COCINERO,99,116,0
ASCARZA,99,115,0
IPAS,99,115,0
OJOPI,99,115,0
VEA MURGUIA,99,115,0
SOSTRES,99,113,0
BONAVILA,99,112,0
MATAMORO,99,112,0
CARGUA,99,111,5
SARSA,99,111,5
ALBITE,99,110,0
CHANTRERO,99,110,0
DEL SOTO,99,110,0
PURTI,99,109,0
MUSET,99,108,0
SANTA TERESA,99,108,0
ABEJARO,99,107,0
JARIEGO,99,106,0
JARTIN,99,106,0
GASTACA,99,104,0
OCAMICA,99,104,0
PERNUDO,99,104,0
PUCHA,99,104,0
SANTAYA,99,104,0
ZAPORTA,99,104,0
ONDARZA,99,102,0
PASCUAS,99,102,0
TABLERO,99,101,9
GARCIA DE JALON,99,101,0
HENAR,99,101,0
RAFELS,99,101,0
ZANABRIA,99,101,0
DANCAUSA,99,100,0
GONJAR,99,99,5
VELADA,99,98,0
TROITEIRO,99,97,0
APIÑANIZ,99,96,0
DO CAMPO,99,96,0
SAN ILDEFONSO,99,96,0
HINESTROZA,99,95,5
ANDIÑACH,99,95,0
PEG,99,95,0
DE SANCHA,99,94,0
DEL FRAILE,99,94,0
GOMEZ DE ARANDA,99,94,0
SARDIÑAS,99,94,0
BARRIA,99,93,0
BORDONAU,99,93,0
CONSTAN,99,93,0
ZAZURCA,99,93,0
LAMUEDRA,99,92,5
CORPS,99,92,0
NEMIÑA,99,91,0
PODIO,99,91,0
ARCANGEL,99,90,0
DAQUILEMA,99,90,0
BOLONIO,99,89,0
VIELLA,99,89,0
CABRANES,99,88,0
CALACO,99,88,0
ENSESA,99,88,0
MANGRANE,99,88,0
MENDICOTE,99,88,0
SARASTI,99,88,0
VILAGUT,99,87,0
BRUNEL,99,86,0
ALMUDEVAR,99,85,0
CAHUE,99,85,0
GARCIA DE LOS RIOS,99,85,0
CALLISAYA,99,84,0
HUAYTA,99,84,0
AMPURDANES,99,83,0
TRENZADO,99,83,0
BOSQUEZ,99,82,0
CAUSO,99,82,0
DEBE,99,82,0
POOL,99,82,0
BULLO,99,81,0
MUÑOZ CRUZADO,99,79,0
FALQUINA,99,77,0
CANTONERO,99,76,0
GARCIA DELGADO,99,76,0
VISQUERT,99,76,0
COVACHO,99,75,5
MUNDI,99,75,0
BAIXAS,99,74,0
ILAGAN,99,74,0
LOPEZ DE OCARIZ,99,74,0
MANDAYO,99,73,0
SANCHEZ MEDINA,99,73,0
AURELIO,99,72,0
LARCO,99,72,0
RODRIGUEZ LOSADA,99,72,0
RIHUETE,99,71,5
SABEL,99,71,0
ALABADI,99,67,0
CHOUDHRY,99,67,0
GIROS,99,67,0
TRENCH,99,67,0
FERNANDEZ GALLARDO,99,65,5
DEDEU,99,65,0
ALACIO,99,64,0
BIONDI,99,64,0
ALIANA,99,60,0
FATUARTE,99,60,0
KHOURY,99,59,8
BARBEYTO,99,59,0
BAILLY,99,52,0
BERNARDINI,99,52,0
ANSEDES,99,51,0
ARJO,99,51,0
GUALSAQUI,99,49,0
OSCAR,99,49,0
HELLER,99,48,0
MILCHEVA,99,33,0
CASSAMA,99,29,0
BAKOUR,99,28,0
BOUBKER,99,28,0
BAKKACH,99,26,0
MARONG,99,26,0
RAOUI,99,26,0
N'DIAYE,99,23,5
TAIB,99,22,0
EL WAHABI,99,21,0
DI PIETRO,99,20,0
SIMONE,99,19,0
GOOSSENS,99,18,0
TURC,99,18,0
ACHAB,99,17,0
EL OUAZGHARI,99,17,0
AHARRAR,99,16,0
ARAMA,99,16,0
OUACHIKH,99,14,0
BATEMAN,99,12,0
BOLOCAN,99,12,0
ILIYANOVA,99,12,0
SOUISSI,99,11,0
BELKACEMI,99,10,0
COTTON,99,10,0
MCINTYRE,99,10,0
ROTBI,99,10,0
YAAGOUBI,99,10,0
SZYMANSKI,99,9,0
BOUCHAMA,99,8,0
EL OMRANI,99,8,0
KIRALY,99,8,0
KEEN,99,7,0
ABDOULAYE,99,6,0
BENYAICH,99,6,0
BOGATU,99,6,0
BOUKHABZA,99,6,0
AHADDOUCH,99,5,0
BAIAS,99,0,0
FERENT,99,0,0
GHIURCA,99,0,0
KAMRAN,99,0,0
SATTAR,99,0,0
SIMIONCA,99,0,0
NSANG,98,168,0
GALAFAT,98,161,0
FENANDEZ,98,159,0
LAMPEREZ,98,147,0
MASSUET,98,141,0
NANTES,98,141,0
CATELA,98,139,0
CAÑARDO,98,138,0
CAÑASVERAS,98,134,0
HERMOSELL,98,133,0
ULANGA,98,132,0
BARRAFON,98,131,0
IRIZABAL,98,130,0
VEGUILLA,98,129,0
BOSO,98,125,0
LOMERO,98,125,0
MARCHITE,98,125,0
DE SOLIS,98,124,0
URBERUAGA,98,123,0
ALIBES,98,122,0
JADO,98,122,0
VILLAQUIRAN,98,122,0
ERGUETA,98,120,0
PIÑEROS,98,120,0
MONTILA,98,119,0
COMERAS,98,117,0
COLACIOS,98,116,0
TRASEIRA,98,115,7
ARRECIADO,98,115,0
DEL YERRO,98,114,0
BUSQUETA,98,113,0
CASANA,98,113,0
VEROS,98,112,5
TEJUELO,98,111,0
CARTUCHE,98,110,5
DA CONCEPCION,98,110,0
PUIGNAU,98,110,0
POSADILLA,98,109,0
FEANS,98,108,0
FONTECILLA,98,108,0
LEARTE,98,108,0
MICHEO,98,108,0
DAROS,98,107,0
LORT,98,107,0
ULLASTRES,98,107,0
CHULCA,98,106,0
DE MELLO,98,106,0
MORAIRA,98,106,0
LEVIA,98,105,0
LIBOREIRO,98,105,0
MAQUIRRIAIN,98,105,0
FISICO,98,104,0
GARCIA UBERO,98,104,0
MANSITO,98,104,0
AMOREBIETA,98,103,0
ALIERTA,98,102,0
BONALS,98,102,0
NASCIMIENTO,98,102,0
AULES,98,101,0
UTRABO,98,101,0
GRABULEDA,98,100,0
TEMBRA,98,98,0
VAQUERIZA,98,97,5
LICER,98,97,0
LOPEZ MANZANARES,98,97,0
BUILS,98,96,0
LAVA,98,96,0
CARELA,98,95,0
DIAZ CARDIEL,98,94,0
PAPIN,98,94,0
LACON,98,93,7
BIURRARENA,98,93,0
ONORATO,98,93,0
PESOA,98,93,0
JUANDO,98,92,0
MILANOV,98,91,0
SALIS,98,91,0
YUNCAL,98,91,0
CO,98,90,0
EGURZA,98,90,0
TRILLO FIGUEROA,98,90,0
DEUDERO,98,89,0
FAÑA,98,89,0
RELOVA,98,89,0
TORNS,98,88,0
LAHORA,98,87,0
MIGUELTORENA,98,86,0
NEGRAL,98,86,0
SUBINAS,98,86,0
CAIXAL,98,85,0
OMENAT,98,85,0
SAN LAZARO,98,85,0
PASANAU,98,84,0
CABRUJA,98,82,0
ETURA,98,82,0
VIGARIO,98,82,0
GARRIDO LESTACHE,98,81,0
SAGRE,98,81,0
PELEJERO,98,80,0
BELAUSTEGI,98,78,0
CAIMEL,98,77,0
CATALDO,98,77,0
MENEN,98,77,0
DE LA ANTONIA,98,76,0
STOYKOVA,98,75,5
GAMEIRO,98,75,0
LLOSES,98,75,0
MALLAGARAY,98,75,0
BALCONES,98,74,0
CORNELL,98,74,0
GASTO,98,74,0
NATOLI,98,74,0
PORTALS,98,74,0
RARIS,98,74,0
DE SAN PEDRO,98,73,0
PACIENCIA,98,73,0
BASDEDIOS,98,71,0
CHUQUITARCO,98,71,0
ALVAREZ CIENFUEGOS,98,70,0
CATCHOT,98,70,0
BERRUTI,98,69,0
BELENDA,98,66,0
BORIS,98,65,0
PIGNATELLI,98,64,0
GOMEZ MILLAN,98,63,0
RUIZ OLIVARES,98,63,0
GUILLAUME,98,62,0
GANDUXE,98,61,0
VALIA,98,61,0
KLETT,98,57,0
REGUART,98,56,0
VISIERS,98,54,0
DAMYANOVA,98,50,0
UBANI,98,48,0
RANGELOV,98,44,0
ARAKAMA,98,42,0
CHAUDHARY,98,41,0
SHABAN,98,38,0
GUIDA,98,36,0
ROSSINI,98,35,0
HADDI,98,33,0
AZMANI,98,29,0
EL EDRISSI,98,28,0
FARAJ,98,28,0
MARTINOVA,98,27,0
THIEL,98,27,0
SEBAI,98,26,0
GRAZIANO,98,24,0
BROOK,98,23,0
SMITS,98,23,0
LEWANDOWSKA,98,22,0
FORREST,98,21,0
ROONEY,98,20,0
DREYER,98,18,0
EL YACOUBI,98,17,5
FEDOROVA,98,17,0
FIELDING,98,17,0
AKHDIM,98,16,0
NWACHUKWU,98,15,5
AUREL,98,15,0
IMAFIDON,98,15,0
LOUZARI,98,15,0
ALOUANI,98,13,0
BOUHOUCH,98,13,0
FRIMPONG,98,13,0
NADIF,98,13,0
NDAW,98,13,0
SAHEL,98,13,0
SRHIR,98,12,0
TURNBULL,98,12,0
BENHADDI,98,11,0
OBENG,98,11,0
PASCALE,98,11,0
SWAIN,98,10,0
CHOUDNA,98,9,0
YERMAK,98,9,0
BERRAHA,98,7,0
BOWMAN,98,6,0
EL MORABITI,98,6,0
IKRAM,98,6,0
MATAICH,98,6,0
MBODJI,98,6,0
HOBSON,98,5,0
BABUT,98,0,0
DRAGUS,98,0,0
FOTACHE,98,0,0
HRISCU,98,0,0
LIAQAT,98,0,0
MOROIANU,98,0,0
OURINICH,98,0,0
TALOS,98,0,0
DE PAREDES,97,158,0
CALABAZA,97,153,0
AGUILILLA,97,150,0
EYANG,97,145,0
AUBIA,97,137,0
LEYDA,97,137,0
TEJADOS,97,127,0
AYANZ,97,125,0
BRUNES,97,125,0
DESIDERIO,97,123,0
BREVAL,97,120,0
ESPERALTA,97,119,0
LANDAJO,97,118,0
MORERO,97,118,0
SANTA EULALIA,97,117,0
EMBIL,97,116,0
GOCHI,97,116,0
ANTIGUA,97,115,0
BERGONDO,97,115,0
DEVES,97,113,0
SARRAGA,97,113,0
RUILOVA,97,111,0
ABUJA,97,109,0
VERISIMO,97,108,0
SAINZ DE ROZAS,97,105,0
CAPERA,97,104,0
DE LAS MUELAS,97,104,0
MAGNO,97,104,0
EZENARRO,97,103,0
GARCIA LOMAS,97,103,0
SANOU,97,103,0
MIJAS,97,101,8
CAMUESCO,97,98,0
MUÑOZ MORALES,97,98,0
ATIENCIA,97,95,0
BURNIOL,97,94,0
CONEJEROS,97,94,0
SANCLIMENS,97,94,0
VINAROZ,97,94,0
EGUIARTE,97,93,0
LEANTE,97,93,0
LOPEZ DAVILA,97,93,0
PAZMINO,97,93,0
CAPISTROS,97,91,0
NAVO,97,91,0
ARANEGAS,97,90,0
LLUSSA,97,90,0
GARCIA PASCUAL,97,89,0
GARDEL,97,89,0
MALUQUER,97,89,0
VELEVA,97,89,0
VIÑAL,97,89,0
ESPARTA,97,88,0
MINDAN,97,88,0
VICENTE RUIZ,97,88,0
ARNAUDAS,97,87,0
PERIN,97,86,0
SAN VALENTIN,97,86,0
BUDESCA,97,82,0
LAUT,97,82,0
PAMPARA,97,82,0
AUQUI,97,81,0
LLISTERRI,97,81,0
MARION,97,81,0
DE BUEN,97,80,0
GUILES,97,80,0
DEUSTO,97,79,0
LOPEZ DEL PRADO,97,79,0
MARIEZKURRENA,97,79,0
MONMANY,97,79,0
ELCARTE,97,78,0
MANTARAS,97,78,0
AGUASCA,97,77,0
ARDEO,97,77,0
ELARRE,97,77,0
HONOR,97,77,0
BUENA,97,76,0
CONSOLA,97,76,0
CUNTIN,97,76,0
EZKURDIA,97,76,0
LAZARA,97,76,0
SAINZ DE LOS TERREROS,97,76,0
GOÑEZ,97,75,10
ARTIZ,97,75,0
NICOLAO,97,75,0
TROTONDA,97,75,0
TURUELO,97,75,0
UCEIRA,97,75,0
CORELLANO,97,74,0
SOBRINOS,97,74,0
TONA,97,74,0
CONSENTINO,97,73,0
ENFEDDAL,97,72,0
ZARANDIETA,97,72,0
