nombre,frec,edad_media
ANTONIO,765138,52.7
JOSE,706051,58.3
MANUEL,658306,52.5
FRANCISCO,572088,54.1
JUAN,395559,53.7
DAVID,351437,25.7
JOSE ANTONIO,323063,44.1
JOSE LUIS,312302,47.8
JAVIER,297410,28.4
JESUS,295470,45.0
FRANCISCO JAVIER,290742,38.4
CARLOS,280014,34.8
DANIEL,273468,24.1
MIGUEL,263397,44.7
RAFAEL,254478,47.1
JOSE MANUEL,250869,41.7
PEDRO,250021,51.1
ALEJANDRO,236537,22.7
ANGEL,235230,48.3
MIGUEL ANGEL,229902,37.7
JOSE MARIA,225968,49.3
FERNANDO,217546,44.6
LUIS,214294,49.8
PABLO,195256,25.5
SERGIO,195251,23.4
JORGE,186046,29.9
ALBERTO,180391,32.2
JUAN CARLOS,163917,39.0
JUAN JOSE,160579,43.6
RAMON,141677,54.3
ENRIQUE,140667,46.4
DIEGO,140128,31.3
JUAN ANTONIO,139865,43.7
VICENTE,139046,55.3
ALVARO,135697,19.1
RAUL,134842,26.2
ADRIAN,131454,15.6
JOAQUIN,125614,50.9
IVAN,124529,20.3
ANDRES,124297,44.8
OSCAR,120586,28.5
RUBEN,119938,22.3
JUAN MANUEL,116759,40.7
SANTIAGO,116274,44.7
EDUARDO,111954,40.8
VICTOR,101940,27.5
ROBERTO,98900,34.9
JAIME,98348,39.2
FRANCISCO JOSE,95934,35.4
IGNACIO,92463,36.1
ALFONSO,92167,47.3
SALVADOR,90396,49.9
RICARDO,88324,44.8
MARIO,84764,23.5
JORDI,83353,34.2
EMILIO,82910,53.4
MARCOS,78152,23.1
JULIAN,76945,53.6
JULIO,75091,51.6
TOMAS,72139,51.4
AGUSTIN,71128,52.2
GUILLERMO,69017,32.2
GABRIEL,68162,36.9
JOSE MIGUEL,66157,39.3
FELIX,64777,55.0
JOSE RAMON,62330,47.0
MOHAMED,59414,32.3
GONZALO,58491,31.5
JOAN,57289,40.6
MARC,57214,16.8
MARIANO,53096,56.8
ISMAEL,52808,25.6
DOMINGO,52681,57.5
JOSEP,52048,51.0
CRISTIAN,51569,18.3
JUAN FRANCISCO,48767,40.5
ALFREDO,48219,48.7
NICOLAS,48067,32.7
SEBASTIAN,47610,47.5
JOSE CARLOS,46192,37.1
FELIPE,45948,51.7
SAMUEL,45567,18.0
HUGO,43960,8.6
MARTIN,43250,39.4
CESAR,42628,36.2
AITOR,42513,19.1
JOSE ANGEL,41288,38.7
JOSE IGNACIO,40801,43.3
GREGORIO,40230,57.9
VICTOR MANUEL,39737,33.8
HECTOR,38939,18.5
LUIS MIGUEL,37573,37.0
JOSE FRANCISCO,35804,42.0
JUAN LUIS,35393,41.4
LORENZO,35253,52.9
ALBERT,34014,28.5
CRISTOBAL,33818,49.2
ESTEBAN,33818,47.8
XAVIER,33572,28.6
EUGENIO,32559,56.7
IKER,32283,11.0
RODRIGO,31167,21.4
ANTONIO JOSE,31159,37.0
ALEX,30572,10.6
ARTURO,30416,42.4
BORJA,29253,19.5
VALENTIN,28278,51.7
JOSE JAVIER,28124,39.1
JESUS MARIA,27545,47.9
JUAN MIGUEL,27464,39.8
JAUME,27123,43.5
ANTONIO JESUS,26445,30.3
GERMAN,26265,41.5
LUCAS,26255,19.1
FRANCISCO MANUEL,25998,35.1
JONATHAN,25276,20.6
PEDRO JOSE,24856,39.8
JOSE VICENTE,24706,43.7
ADOLFO,24587,51.6
ISAAC,24352,28.9
PAU,24188,12.7
BENITO,23886,58.5
MOHAMMED,23561,33.4
MOISES,23233,33.7
ISIDRO,23188,54.8
JUAN RAMON,23102,44.2
ABEL,22602,29.3
JUAN PEDRO,22504,41.9
AHMED,22176,38.5
BERNARDO,22165,52.9
ERNESTO,21817,46.7
CHRISTIAN,21686,17.8
GERARDO,21627,50.8
AARON,21540,11.0
MANUEL JESUS,21256,33.4
SERGI,21227,18.4
MIKEL,21087,21.4
CARMELO,21064,52.9
PASCUAL,20981,56.1
IÑIGO,20494,25.9
FEDERICO,20318,51.1
ASIER,20214,18.2
ANTONIO MANUEL,19504,35.9
MIQUEL,19479,38.0
JOEL,19203,11.5
MARCELINO,19199,60.1
FRANCESC,19144,42.8
BARTOLOME,19141,55.7
ISRAEL,18698,25.5
ERIC,18419,13.1
MATEO,17811,32.0
JON,17806,20.9
ELOY,17769,38.7
JESUS MANUEL,17635,39.6
JOSE ALBERTO,17634,36.9
FERMIN,17597,54.4
LUIS ALBERTO,17342,38.2
GERARD,17265,17.2
AURELIO,17219,58.4
JUAN JESUS,17047,37.5
OMAR,17047,23.5
UNAI,16976,14.7
JONATAN,16969,22.9
BENJAMIN,16944,46.9
ORIOL,16724,17.5
PERE,16723,48.4
LLUIS,16169,44.1
JOSEP MARIA,16074,50.6
EUSEBIO,16072,59.6
IÑAKI,16028,32.0
ANTONI,15977,43.8
JACINTO,15732,58.2
POL,15504,9.8
PEDRO ANTONIO,15459,42.5
DARIO,15313,20.7
VICTORIANO,15312,60.6
CARLES,15223,31.7
ELIAS,15222,43.0
CARLOS ALBERTO,15050,37.5
ARNAU,14975,10.5
JOSE ENRIQUE,14857,41.4
MARCO ANTONIO,14815,32.9
JERONIMO,14636,52.0
ANGEL LUIS,14610,41.4
JUAN PABLO,14583,32.0
MATIAS,14540,47.5
ROGER,14358,20.7
JUAN IGNACIO,14212,41.4
KEVIN,14210,13.1
ISIDORO,14121,57.9
TEODORO,14119,61.2
DIONISIO,13890,59.9
ADRIA,13718,12.8
BRUNO,13688,21.7
CANDIDO,13626,59.4
FLORENCIO,13582,61.6
FRANCISCO JESUS,13425,31.8
BLAS,13393,54.8
JUSTO,13379,59.0
ROMAN,13292,45.5
GUSTAVO,13220,36.6
JOSE JUAN,13137,43.0
SANTOS,13019,56.4
JUAN BAUTISTA,13013,53.2
MANUEL ANGEL,12858,42.1
LUIS FERNANDO,12740,41.1
ARMANDO,12724,47.6
SAID,12706,34.4
ALEXANDER,12493,23.6
DAMIAN,12463,38.6
GINES,12384,50.3
ALONSO,12377,37.6
LUIS MANUEL,12376,38.6
EMILIANO,12241,59.3
IZAN,12219,4.1
GUILLEM,12191,15.8
CARLOS JAVIER,12079,34.4
ENRIC,12039,38.1
FAUSTINO,11946,60.2
PEDRO LUIS,11922,43.3
SERAFIN,11894,57.6
ION,11855,38.2
XABIER,11795,22.1
GORKA,11769,23.2
ANDER,11711,16.0
FERRAN,11688,25.0
RACHID,11562,32.6
JUAN MARIA,11559,48.3
GHEORGHE,11552,42.4
MARCO,11524,15.8
JOSE JOAQUIN,11475,43.2
VASILE,11339,40.1
IOAN,11165,41.8
LEONARDO,11056,43.9
ABRAHAM,11027,21.8
FIDEL,10910,55.2
JOSE DAVID,10885,26.9
EDUARD,10878,29.3
MAXIMO,10876,56.0
RAMIRO,10766,53.8
SAUL,10758,16.6
AMADOR,10673,56.2
ROGELIO,10428,56.2
MARTI,10254,18.8
CLAUDIO,10207,51.6
LUCIANO,10197,57.4
JULIO CESAR,10193,38.5
LUIS MARIA,10182,50.2
LUIS ANTONIO,10114,44.0
JOSE ANDRES,10027,40.7
FRANCISCO ANTONIO,9974,40.8
FLORENTINO,9955,62.1
JESUS ANGEL,9913,41.5
EMILIO JOSE,9908,31.4
MODESTO,9870,60.0
YOUSSEF,9779,23.3
MUSTAPHA,9621,36.6
LUIS ANGEL,9566,41.8
SIMON,9426,43.5
MANUEL ANTONIO,9417,44.3
JOAQUIM,9407,47.5
PAULINO,9289,60.0
ILDEFONSO,9242,54.9
ALI,9166,32.9
AVELINO,9121,61.2
EDGAR,9096,19.2
ALEIX,9063,13.5
SATURNINO,9062,63.6
CELESTINO,9040,60.3
CONSTANTINO,8980,57.6
YERAY,8967,13.1
ELADIO,8880,59.2
