nombre,frec,edad_media
MARIA CARMEN,681108,51.1
MARIA,668112,49.3
CARMEN,447130,59.5
JOSEFA,325874,64.1
ISABEL,296241,54.2
ANA MARIA,281533,45.4
MARIA DOLORES,273002,51.1
MARIA PILAR,271733,51.2
MARIA TERESA,263124,51.3
ANA,261346,41.9
LAURA,248233,23.3
FRANCISCA,246861,60.9
ANTONIA,239751,60.8
DOLORES,236302,63.4
MARIA ANGELES,234432,49.6
CRISTINA,231232,28.0
MARTA,214500,24.4
MARIA JOSE,207548,39.6
MARIA ISABEL,207464,46.3
PILAR,174329,59.9
MARIA LUISA,174308,55.8
LUCIA,171879,22.5
CONCEPCION,170264,61.5
ELENA,158990,34.5
MERCEDES,158309,56.9
MANUELA,157945,58.5
ROSA MARIA,149558,45.5
RAQUEL,148548,29.9
SARA,148532,21.6
MARIA JESUS,145275,49.4
PAULA,141508,17.6
JUANA,140755,62.1
TERESA,140316,59.7
ROSARIO,140117,59.8
ENCARNACION,127327,59.0
BEATRIZ,125794,31.5
ROSA,122403,61.5
NURIA,120127,33.0
SILVIA,119620,30.0
MONTSERRAT,116853,48.8
JULIA,113804,45.2
PATRICIA,112909,25.6
IRENE,105473,24.3
MONICA,104073,31.3
ANDREA,102224,18.1
ROCIO,101163,24.5
ANGELA,100497,44.6
MARIA MAR,100228,36.7
MARGARITA,99877,55.4
SONIA,98578,30.7
SANDRA,97425,23.1
SUSANA,97249,35.6
ALICIA,96435,35.5
YOLANDA,94014,35.9
ALBA,93995,12.6
MARIA JOSEFA,93760,57.2
MARINA,92140,30.8
NATALIA,87259,23.4
MARIA ROSARIO,83246,53.0
INMACULADA,81999,37.5
ANGELES,80478,61.9
ESTHER,78890,36.1
MARIA MERCEDES,77338,49.0
ANA ISABEL,76535,36.4
EVA,76293,28.5
VERONICA,72035,27.1
AMPARO,71119,60.8
NOELIA,71064,21.9
MARIA ROSA,66784,55.3
MARIA VICTORIA,64998,46.6
MARIA CONCEPCION,63935,56.5
CAROLINA,63523,28.8
CLAUDIA,63319,13.8
EVA MARIA,62835,34.5
CATALINA,62521,58.4
CONSUELO,62334,63.0
VICTORIA,61441,49.0
LORENA,61325,21.7
ANA BELEN,60841,30.9
MARIA ANTONIA,60529,54.4
MARIA ELENA,60020,43.1
MIRIAM,58513,21.1
EMILIA,57398,62.5
NEREA,57392,13.5
LUISA,56817,63.0
INES,56587,37.7
MARIA NIEVES,54352,50.8
GLORIA,53058,50.3
LIDIA,53019,29.2
CARLA,52460,9.7
AURORA,51876,56.7
ESPERANZA,51320,56.5
JOSEFINA,51192,63.2
SOFIA,50701,22.3
MILAGROS,50409,58.6
OLGA,49812,39.6
CELIA,48131,33.9
MARIA SOLEDAD,47952,49.5
PURIFICACION,47225,60.6
MARIA CRISTINA,46501,42.8
VIRGINIA,45863,35.3
MARIA LUZ,45802,52.7
FATIMA,44068,31.6
LOURDES,43882,42.0
VANESA,42430,26.7
ALEJANDRA,41830,24.1
CLARA,41585,28.7
ANNA,41402,26.7
MAGDALENA,41229,58.3
BEGOÑA,40876,42.2
VICENTA,40375,67.3
ASUNCION,40176,63.0
MATILDE,39470,62.6
ISABEL MARIA,38680,36.1
MARIA BELEN,38520,39.5
ELISA,38510,48.4
ESTEFANIA,38500,25.4
REMEDIOS,38230,60.2
AINHOA,38224,14.9
ARACELI,37759,53.4
TRINIDAD,37570,62.2
MARIA ASUNCION,37473,54.4
MARIA PAZ,36859,52.2
ELVIRA,36812,57.9
MARIA BEGOÑA,36570,50.6
SOLEDAD,36170,55.9
NATIVIDAD,36165,60.5
GEMA,35126,29.2
BELEN,34919,28.7
BLANCA,34874,28.8
DANIELA,34581,16.0
MARIA ESTHER,34452,46.6
MARIA LOURDES,34421,48.2
FELISA,33941,68.5
ASCENSION,33697,61.8
TAMARA,33099,22.5
VANESSA,33093,27.1
NIEVES,32043,57.8
MARIA CRUZ,32041,54.3
GEMMA,31397,31.2
PALOMA,31384,33.2
RAFAELA,31371,60.9
REBECA,30559,23.9
ALMUDENA,30393,28.7
ADELA,30286,57.8
ADRIANA,30056,19.4
MARIA INMACULADA,28743,41.9
MARIA AMPARO,28532,47.7
AMALIA,28367,58.1
RAMONA,28304,65.2
NOEMI,28283,24.5
MIREIA,28095,20.5
